,employer,title,salary,submitDate,startDate,caseStatus,city,state
0,seagate us llc,Senior Data Analyst,95160,2015-01-07,2015-02-01,CERTIFIED,BLOOMINGTON,MN
1,fidelity service company inc,Senior Data Analyst,85571,2015-01-08,2015-06-24,CERTIFIED,WESTLAKE,TX
2,canvas infotech inc,Data Analyst,56971,2015-01-12,2015-01-12,CERTIFIED,CAMINO RAMON,"SAN RAMON,"
3,capital one services llc,Senior Data Analyst,84136,2015-01-13,2015-03-13,CERTIFIED,MCLEAN,VA
4,capital one services llc,Principal Data Analyst,89000,2015-01-14,2015-01-26,CERTIFIED,PLANO,TX
5,bell info solutions llc,Data Analyst,67700,2015-01-15,2015-01-15,CERTIFIED,STERLING,VA
6,capital one sharebuilder inc,Senior Data Analyst,65000,2015-01-16,2015-02-02,CERTIFIED,MCLEAN,VA
7,jones lang lasalle americas inc,Senior Data Analyst,80350,2015-01-20,2015-01-27,CERTIFIED,CHICAGO,IL
8,jones lang lasalle americas inc,Senior Data Analyst,80350,2015-01-20,2015-01-27,WITHDRAWN,CHICAGO,IL
9,hanusoft inc,Data Analyst,60000,2015-01-21,2015-05-13,CERTIFIED,RICHMOND,VA
10,msci inc,Associate Data Analyst,54434,2015-01-22,2015-07-15,CERTIFIED,NORMAN,OK
11,msci inc,Associate Data Analyst,56900,2015-01-22,2015-07-15,CERTIFIED,NORMAN,OK
12,dean health systems inc,Data Analyst,60000,2015-01-22,2015-07-15,CERTIFIED,MADISON,WI
13,capital one services llc,Senior Data Analyst,77700,2015-01-23,2015-02-02,CERTIFIED,PLANO,TX
14,storm8 inc,Data Analyst,90000,2015-01-24,2015-07-15,CERTIFIED,REDWOOD CITY,CA
15,davita inc,Senior Data Analyst,90000,2015-01-25,2015-02-01,CERTIFIED,EL SEGUNDO,CA
16,texas ezpawn lp,Data Analyst,75000,2015-01-26,2015-02-02,CERTIFIED,AUSTIN,TX
17,capital one services llc,Senior Data Analyst,70000,2015-01-26,2015-07-20,CERTIFIED,RICHMOND,VA
18,capital one services llc,Senior Data Analyst,70000,2015-01-26,2015-07-20,CERTIFIED,GLEN ALLEN,VA
19,capital one national association,Senior Data Analyst,84136,2015-01-26,2015-07-22,CERTIFIED,MCLEAN,VA
20,lyft inc,Data Analyst,95000,2015-01-26,2015-02-01,CERTIFIED,SAN FRANCISCO,CA
21,capital one national association,Senior Data Analyst,61500,2015-01-27,2015-07-24,CERTIFIED,WILMINGTON,DE
22,capital one national association,Senior Data Analyst,84136,2015-01-27,2015-07-24,CERTIFIED,MCLEAN,VA
23,capital one services llc,Senior Data Analyst,65000,2015-01-28,2015-07-26,CERTIFIED,MCLEAN,VA
24,capital one national association,Senior Data Analyst,77700,2015-01-28,2015-07-25,WITHDRAWN,PLANO,TX
25,capital one national association,Senior Data Analyst,65000,2015-01-29,2015-07-26,CERTIFIED,MCLEAN,VA
26,machine zone inc,Data Analyst,93974,2015-01-29,2015-02-05,CERTIFIED,PALO ALTO,CA
27,capital one services llc,Principal Data Analyst,99300,2015-01-29,2015-07-30,CERTIFIED,ARLINGTON,VA
28,capital one national association,Senior Data Analyst,77700,2015-01-29,2015-07-29,CERTIFIED,WILMINGTON,DE
29,capital one national association,Principal Data Analyst,62000,2015-01-29,2015-07-30,CERTIFIED,WILMINGTON,DE
30,capital one services ii llc,Senior Data Analyst,65000,2015-01-29,2015-07-29,CERTIFIED,ROLLING MEADOWS,IL
31,the college of william and mary,Data Analyst,56225,2015-01-29,2015-02-25,CERTIFIED,WILLIAMSBURG,VA
32,capital one national association,Senior Data Analyst,84136,2015-01-29,2015-07-26,CERTIFIED,MCLEAN,VA
33,capital one services llc,Principal Data Analyst,94000,2015-01-30,2015-07-20,CERTIFIED,NEW YORK,NY
34,capital one services llc,Senior Data Analyst,77700,2015-01-30,2015-02-23,CERTIFIED,PLANO,TX
35,capital one national association,Senior Data Analyst,77700,2015-02-02,2015-07-27,CERTIFIED,WILMINGTON,DE
36,steve silver co,Data Analyst,46946,2015-02-02,2015-08-03,CERTIFIED,FORNEY,TX
37,capital one services llc,Senior Data Analyst,65000,2015-02-02,2015-08-01,WITHDRAWN,PLANO,TX
38,ibm india private limited,Data Analyst,64043,2015-02-02,2015-08-02,CERTIFIED,PORTLAND,OR
39,capital one services llc,Senior Data Analyst,65000,2015-02-02,2015-07-27,CERTIFIED,PLANO,TX
40,wonderbox technologies llc,Data Analyst,67500,2015-02-02,2015-02-15,CERTIFIED,SAN ANTONIO,TX
41,aig property casualty company,Senior Data Analyst,97000,2015-02-02,2015-02-09,CERTIFIED,ATLANTA,GA
42,capital one services ii llc,Senior Data Analyst,91700,2015-02-03,2015-07-26,CERTIFIED,SAN FRANCISCO,CA
43,capital one national association,Senior Data Analyst,77700,2015-02-03,2015-08-01,CERTIFIED,WILMINGTON,DE
44,capital one services ii llc,Senior Data Analyst,106600,2015-02-03,2015-02-23,CERTIFIED,SAN FRANCISCO,CA
45,capital one national association,Senior Data Analyst,62000,2015-02-03,2015-02-16,CERTIFIED,WILMINGTON,DE
46,estrada consulting inc,Data Analyst,67150,2015-02-04,2015-08-04,CERTIFIED,SACRAMENTO,CA
47,bell info solutions llc,Data Analyst,60000,2015-02-04,2015-02-04,CERTIFIED,FRISCO,TX
48,steve silver co,Data Analyst,52620,2015-02-04,2015-08-06,CERTIFIED,FORNEY,TX
49,capital one services llc,Senior Data Analyst,65000,2015-02-04,2015-08-03,CERTIFIED,PLANO,TX
50,capital one services llc,Senior Data Analyst,77700,2015-02-04,2015-08-03,CERTIFIED,PLANO,TX
51,estrada consulting inc,Data Analyst,67150,2015-02-04,2015-08-04,CERTIFIED,SACRAMENTO,CA
52,estrada consulting inc,Data Analyst,67150,2015-02-04,2015-08-04,CERTIFIED,SACRAMENTO,CA
53,capital one services ii llc,Senior Data Analyst,94000,2015-02-04,2015-08-03,CERTIFIED,NEW YORK,NY
54,clinpharma consulting global group llc,Data Analyst,63500,2015-02-05,2015-02-18,CERTIFIED,WOODCLIFF LAKE,NJ
55,capital one sharebuilder inc,Senior Data Analyst,84136,2015-02-05,2015-08-06,CERTIFIED,MCLEAN,VA
56,capital one services llc,Senior Data Analyst,84500,2015-02-05,2015-08-03,CERTIFIED,MCLEAN,VA
57,infosys solutions inc,Data Analyst,60000,2015-02-05,2015-07-14,CERTIFIED,ALPHARETTA,GA
58,socialight analytics inc,Data Analyst,80000,2015-02-06,2015-02-23,CERTIFIED,NEW YORK,NY
59,mastech inc a mastech holdings inc company,Data Analyst,61381,2015-02-06,2015-02-06,CERTIFIED,PASADENA,CA
60,mastech inc a mastech holdings inc company,Data Analyst,61381,2015-02-06,2015-08-05,CERTIFIED,PASADENA,CA
61,waynsys inc,Data Analyst,72000,2015-02-09,2015-08-09,CERTIFIED,BROOKLYN PARK,MN
62,elan technologies inc,Data Analyst,65000,2015-02-09,2015-02-09,CERTIFIED,AUSTIN,TX
63,spireon inc,Data Analyst,100000,2015-02-10,2015-03-02,CERTIFIED,IRVINE,CA
64,trueblue inc,Data Analyst,65000,2015-02-10,2015-08-09,CERTIFIED,TACOMA,WA
65,estrada consulting inc,Data Analyst,65000,2015-02-10,2015-08-11,CERTIFIED,SACRAMENTO,CA
66,aig pc global services inc,Senior Data Analyst,127000,2015-02-10,2015-02-16,CERTIFIED,BERKELEY HEIGHTS,NJ
67,vedicsoft solutions llc,Data Analyst,74776,2015-02-10,2015-02-23,CERTIFIED,HERNDON,VA
68,demand media inc,Data Analyst,90000,2015-02-10,2015-03-09,CERTIFIED,SANTA MONICA,CA
69,demand media inc,Data Analyst,90000,2015-02-10,2015-03-09,CERTIFIED,SANTA MONICA,CA
70,demand media inc,Data Analyst,90000,2015-02-10,2015-03-09,CERTIFIED,SANTA MONICA,CA
71,demand media inc,Data Analyst,90000,2015-02-10,2015-03-09,CERTIFIED,SANTA MONICA,CA
72,capital one services ii llc,Principal Data Analyst,99300,2015-02-11,2015-08-08,CERTIFIED,ROLLING MEADOWS,IL
73,capital one services llc,Senior Data Analyst,65000,2015-02-11,2015-08-06,CERTIFIED,PLANO,TX
74,fishing partnership support services,Data Analyst,48000,2015-02-11,2015-08-13,CERTIFIED,BURLINGTON,MA
75,trueblue inc,Data Analyst,65000,2015-02-11,2015-08-09,CERTIFIED,TACOMA,WA
76,capital one services llc,Principal Data Analyst,70000,2015-02-11,2015-08-08,CERTIFIED,RICHMOND,VA
77,nitai partners inc,Data Analyst,75000,2015-02-11,2015-08-01,CERTIFIED,"PITTSBURGH,",PA
78,trustees of the estate of bernice pauahi bishop,Data Analyst,64063,2015-02-13,2015-08-15,CERTIFIED,HONOLULU,HI
79,verisk health inc,Data Analyst,60000,2015-02-13,2015-08-13,CERTIFIED,EDEN PRAIRIE,MN
