,employer,title,salary,submitDate,startDate,caseStatus,city,state
0,SPARTZ LLC,JR. DATA SCIENTIST,62000,2015-03-12,2015-09-07,CERTIFIED,CHICAGO,IL
1,SPARTZ LLC,JR. DATA SCIENTIST,62000,2015-08-26,2015-10-01,CERTIFIED,CHICAGO,IL
2,AMERICAN INSTITUTES FOR RESEARCH,ASSOCIATE DATA SCIENTIST,43181,2015-09-29,2015-11-01,CERTIFIED,ROCKVILLE,MD
3,MIKAN ASSOCIATES LLC,ASSOCIATE DATA SCIENTIST,50190,2015-03-16,2015-09-06,CERTIFIED,CHICAGO,IL
4,BINARY GROUP INC,ASSOCIATE DATA SCIENTIST,55000,2015-03-11,2015-09-10,WITHDRAWN,ARLINGTON,VA
5,BINARY GROUP INC,ASSOCIATE DATA SCIENTIST,55000,2015-03-11,2015-09-10,DENIED,ARLINGTON,VA
6,BINARY GROUP INC,ASSOCIATE DATA SCIENTIST,55000,2015-03-18,2015-09-10,CERTIFIED,ARLINGTON,VA
7,MAKER STUDIOS INC,ASSOCIATE DATA SCIENTIST,60000,2015-03-09,2015-09-01,CERTIFIED,CULVER CITY,CA
8,THE ADVISORY BOARD COMPANY,ASSOCIATE DATA SCIENTIST,71000,2015-03-23,2015-09-22,CERTIFIED,WASHINGTON,DC
9,QUANTIPLY CORPORATION,ASSOCIATE DATA SCIENTIST,84094,2015-03-17,2015-09-15,WITHDRAWN,PALO ALTO,CA
10,QUANTIPLY CORPORATION,ASSOCIATE DATA SCIENTIST,84094,2015-03-18,2015-09-15,CERTIFIED,PALO ALTO,CA
11,WAL-MART ASSOCIATES INC,ASSOCIATE DATA SCIENTIST,85000,2015-02-12,2015-08-11,CERTIFIED,BENTONVILLE,AR
12,INTEGRAL AD SCIENCE INC,ASSOCIATE DATA SCIENTIST,90000,2015-03-18,2015-09-15,CERTIFIED,NEW YORK,NY
13,WAL-MART ASSOCIATES INC,ASSOCIATE DATA SCIENTIST,93226,2015-10-06,2015-10-20,CERTIFIED,BENTONVILLE,AR
14,VASTCOM INC,ASSOCIATE DATA SCIENTIST,100000,2015-03-26,2015-09-25,CERTIFIED,AUSTIN,TX
15,SAAMA TECHNOLOGIES INC,ASSOCIATE DATA SCIENTIST,100000,2015-06-30,2015-10-01,WITHDRAWN,CAMPBELL,CA
16,SAAMA TECHNOLOGIES INC,ASSOCIATE DATA SCIENTIST,100000,2015-07-07,2015-10-01,CERTIFIED,CAMPBELL,CA
17,ZURICH AMERICAN INSURANCE COMPANY,ASSOCIATE DATA SCIENTIST,115000,2015-07-30,2015-10-01,CERTIFIED,SCHAUMBURG,IL
18,LENDINGCLUB CORPORATION,ASSOCIATE DATA SCIENTIST,120000,2015-07-08,2015-07-20,CERTIFIED,SAN FRANCISCO,CA
19,MY LIFE REGISTRY LLC,DATA SCIENTIST,47960,2015-02-18,2015-08-20,CERTIFIED,FORT LEE,NJ
20,MY LIFE REGISTRY LLC,DATA SCIENTIST,47960,2015-02-18,2015-08-20,CERTIFIED,FORT LEE,NJ
21,NEXTECH SOLUTIONS,DATA SCIENTIST,70000,2015-03-13,2015-09-10,CERTIFIED,COLLIERVILLE,TN
22,CIGNIFI INC,DATA SCIENTIST,90000,2015-04-07,2015-04-27,DENIED,NATICK,MA
23,CIGNIFI INC,DATA SCIENTIST,90000,2015-04-10,2015-05-01,CERTIFIED,NATICK,MA
24,PUBLIC ENGINES INC,DATA SCIENTIST,96160,2015-02-09,2015-02-09,CERTIFIED,DRAPER,UT
25,SOLOMON CONSULTING GROUP LLC,DATA SCIENTIST,114000,2015-12-10,2015-12-15,CERTIFIED,LENEXA,KS
26,4RC IO LLC,DATA SCIENTIST,130000,2015-03-19,2015-03-25,WITHDRAWN,MCLEAN,VA
27,4RC IO LLC,DATA SCIENTIST,130000,2015-03-19,2015-03-25,CERTIFIED,MCLEAN,VA
