,employer,title,salary,submitDate,startDate,caseStatus,city,state
0,salesforcecom inc,Senior Data Scientist,180000,2015-01-06,2015-01-19,CERTIFIED,SAN FRANCISCO,CA
1,threatmetrix inc,Data Scientist,5769,2015-01-06,2015-01-26,CERTIFIED,SAN JOSE,CA
2,playdots inc,Data Scientist,100000,2015-01-06,2015-01-13,CERTIFIED,NEW YORK,NY
3,pulsepoint inc,Senior Data Scientist,125000,2015-01-08,2015-01-26,CERTIFIED,NEW YORK,NY
4,twitter inc,Data Scientist,130000,2015-01-09,2015-07-03,CERTIFIED,SAN FRANCISCO,CA
5,microsoft corporation,Data Scientist,120200,2015-01-09,2015-07-07,CERTIFIED,BELLEVUE,WA
6,twitter inc,Data Scientist,130000,2015-01-09,2015-07-03,CERTIFIED,SAN FRANCISCO,CA
7,civitas learning inc,Data Scientist,120000,2015-01-14,2015-03-02,CERTIFIED,AUSTIN,TX
8,earth networks inc,Data Scientist,74290,2015-01-14,2015-07-15,CERTIFIED,GERMANTOWN,MD
9,opex analytics llc,Data Scientist,80000,2015-01-19,2015-01-20,CERTIFIED,EVANSTOWN,IL
10,microsoft corporation,Data Scientist,110000,2015-01-19,2015-07-16,CERTIFIED,REDMOND,WA
11,metromile inc,Data Scientist,150000,2015-01-20,2015-02-02,CERTIFIED,SAN FRANCISCO,CA
12,yieldmo inc,Data Scientist,120000,2015-01-21,2015-07-20,CERTIFIED,NEW YORK,NY
13,netflix inc,Senior Data Scientist,108597,2015-01-21,2015-05-30,CERTIFIED,LOS GATOS,CA
14,netflix inc,Senior Data Scientist,108597,2015-01-21,2015-02-02,CERTIFIED,LOS GATOS,CA
15,netflix inc,Senior Data Scientist,108597,2015-01-21,2015-02-02,CERTIFIED,LOS GATOS,CA
16,paypal inc,Associate Data Scientist,135000,2015-01-21,2015-07-19,CERTIFIED,SAN JOSE,CA
17,facebook inc,Data Scientist,105000,2015-01-21,2015-07-16,CERTIFIED,NEW YORK,NY
18,gemological institute of america (gia),Data Scientist,97000,2015-01-21,2015-02-09,CERTIFIED,NEW YORK,NY
19,monsanto company,Senior Data Scientist,100000,2015-01-21,2015-02-23,CERTIFIED,CHESTERFIELD,MO
20,thoughtworks inc,Data Scientist,76606,2015-01-22,2015-01-22,CERTIFIED,CHICAGO,IL
21,groupon inc,Data Scientist,134000,2015-01-22,2015-02-02,CERTIFIED,PALO ALTO,CA
22,guidewire software inc,Data Scientist,125000,2015-01-26,2015-01-26,CERTIFIED,FOSTER CITY,CA
23,kinnser software inc,Data Scientist,120000,2015-01-26,2015-02-23,CERTIFIED,AUSTIN,TX
24,kpmg llp,Data Scientist,95000,2015-01-27,2015-07-16,CERTIFIED,CHICAGO,IL
25,indeed inc,Data Scientist,120000,2015-01-28,2015-02-02,CERTIFIED,AUSTIN,TX
26,datanyze,Data Scientist,105000,2015-01-28,2015-02-01,CERTIFIED,SAN MATEO,CA
27,microsoft corporation,Data Scientist,102500,2015-01-28,2015-07-26,CERTIFIED,REDMOND,WA
28,microsoft corporation,Data Scientist,120000,2015-01-28,2015-07-28,CERTIFIED,BELLEVUE,WA
29,navistar inc,Senior Data Scientist,63253,2015-01-30,2015-07-31,CERTIFIED,LISLE,IL
30,facebook inc,Data Scientist,125000,2015-01-30,2015-07-29,CERTIFIED,MENLO PARK,CA
31,navistar inc,Senior Data Scientist,63253,2015-01-30,2015-07-31,CERTIFIED,LISLE,IL
